Search,Type,X2018.04.08,X2018.04.15,X2018.04.22,X2018.04.29,X2018.05.06,X2018.05.13,X2018.05.20,X2018.05.27,X2018.06.03,X2018.06.10,X2018.06.17,X2018.06.24,X2018.07.01,X2018.07.08,X2018.07.15,X2018.07.22,X2018.07.29,X2018.08.05,X2018.08.12,X2018.08.19,X2018.08.26,X2018.09.02,X2018.09.09,X2018.09.16,X2018.09.23,X2018.09.30,X2018.10.07,X2018.10.14,X2018.10.21,X2018.10.28,X2018.11.04,X2018.11.11,X2018.11.18,X2018.11.25,X2018.12.02,X2018.12.09,X2018.12.16,X2018.12.23,X2018.12.30,X2019.01.06,X2019.01.13,X2019.01.20,X2019.01.27,X2019.02.03,X2019.02.10,X2019.02.17,X2019.02.24,X2019.03.03,X2019.03.10,X2019.03.17,X2019.03.24,X2019.03.31
The Temptations,Musician,28,43,29,29,62,33,33,28,45,34,42,31,100,28,28,62,33,29,37,34,45,28,28,29,37,27,28,24,55,28,23,27,36,59,37,44,48,76,34,30,27,27,31,51,37,30,40,29,46,31,35,39
Tina Turner,Musician,12,18,14,14,15,12,14,24,14,15,14,14,74,18,27,33,23,19,26,19,21,20,21,17,13,20,32,54,26,53,28,21,41,24,26,14,16,26,21,50,32,45,28,36,100,36,56,21,19,18,19,18
Rod Stewart,Musician,54,46,48,50,40,39,44,49,49,53,50,65,48,52,62,82,97,100,90,89,78,55,40,52,54,59,63,66,59,51,37,45,48,41,45,36,45,64,45,43,41,46,75,40,40,45,36,40,36,41,42,40
Stevie Wonder,Musician,46,44,44,41,47,53,44,45,41,41,40,49,41,42,42,40,48,50,70,55,100,66,46,46,45,41,67,50,45,46,42,44,74,52,46,51,43,48,40,37,37,41,42,45,64,46,47,40,40,39,41,36
The Beach Boys,Musician,38,35,33,42,43,47,47,50,52,47,46,41,100,56,59,62,50,54,48,52,50,45,43,47,39,42,31,36,30,31,36,39,39,45,45,45,42,45,35,34,40,40,39,40,40,36,43,38,38,61,40,37
Janis Joplin,Musician,11,13,14,11,12,14,11,11,12,100,50,23,19,24,19,16,19,16,39,22,17,20,21,27,15,20,17,13,14,14,11,15,16,14,10,11,10,14,14,13,17,14,11,11,14,12,11,12,12,15,13,11
The Righteous Brothers,Musician,78,69,48,66,84,78,55,71,64,69,71,46,53,73,79,60,64,85,76,79,82,58,53,83,55,62,67,66,55,88,61,64,49,68,70,53,52,66,59,59,83,81,100,62,91,86,88,64,67,77,77,73
Bob Marley,Musician,55,74,55,50,73,55,52,53,53,51,49,53,58,54,48,51,53,44,48,47,49,67,43,42,43,42,46,52,56,56,46,44,46,44,44,46,45,45,44,44,49,44,47,100,57,51,51,48,49,46,52,51
David Bowie,Musician,45,56,56,53,47,46,41,47,50,56,55,58,49,49,43,45,43,39,44,40,48,39,40,39,39,40,44,43,47,55,46,46,52,49,48,49,56,61,54,100,50,45,46,41,46,48,42,45,42,47,56,51
The Rolling Stones,Musician,38,39,37,39,43,47,43,38,40,42,39,41,44,36,35,38,38,38,35,40,36,38,40,44,40,36,35,37,39,36,36,36,83,100,51,43,41,46,44,44,45,44,42,39,47,42,42,51,42,45,60,91
Jimi Hendrix,Musician,86,82,76,68,77,78,72,75,78,67,61,64,77,71,67,69,66,67,77,65,58,62,65,80,58,58,68,68,60,72,63,69,74,100,66,69,65,67,70,64,59,71,64,71,81,79,80,73,67,73,71,63
Alice Cooper,Musician,100,65,67,61,64,64,71,75,83,73,75,69,70,69,65,85,85,97,92,77,74,88,76,57,62,76,84,85,87,74,46,54,55,52,53,54,43,54,47,38,46,46,44,66,60,55,50,98,77,60,76,55
The Velvet Underground,Musician,67,90,91,61,91,83,86,46,59,37,38,53,51,52,58,48,66,64,63,72,62,61,55,58,67,79,100,75,82,66,86,95,82,64,75,63,78,62,44,77,50,58,41,64,59,69,60,47,65,59,50,65
Lynyrd Skynyrd,Musician,19,19,21,28,25,24,22,17,24,25,29,25,27,27,27,27,28,24,31,100,53,37,23,25,21,22,24,20,25,20,18,18,17,16,18,14,15,18,20,13,14,12,14,22,17,15,15,14,13,13,13,14
The Who,Musician,67,67,69,70,67,69,70,60,60,55,55,52,53,53,56,51,54,58,54,55,61,64,65,67,70,70,71,73,81,77,95,73,66,73,77,74,71,56,66,77,78,81,76,100,77,75,79,73,71,69,69,72
Billy Joel,Musician,39,33,30,35,38,35,42,39,36,41,32,32,35,36,81,100,44,52,40,43,36,52,36,45,35,43,46,43,39,35,34,41,36,31,34,29,43,37,48,62,69,51,43,39,46,39,36,39,41,38,33,40
Elton John,Musician,100,32,19,19,19,30,27,17,14,15,14,17,22,21,17,16,16,16,18,17,17,21,34,28,31,32,36,32,31,32,31,33,39,36,29,28,22,22,23,24,31,32,32,29,31,39,40,34,34,26,25,22
The Doors,Musician,93,98,89,87,85,95,97,88,90,84,85,79,93,87,86,100,86,82,93,88,77,91,78,78,87,88,86,90,83,85,83,82,87,80,77,91,81,86,83,81,82,91,85,80,87,90,92,85,92,93,83,91
Pink Floyd,Musician,96,90,86,83,87,78,79,79,89,92,77,70,73,76,83,92,87,90,100,86,85,80,80,84,83,84,79,74,71,80,74,70,88,72,80,79,82,92,91,84,82,81,100,79,90,83,80,85,82,83,85,62
Bruce Springsteen,Musician,30,28,26,26,29,33,28,28,32,83,33,28,38,29,40,31,40,32,32,31,30,29,27,27,32,31,30,30,30,36,30,28,31,50,46,50,100,73,52,32,30,27,28,27,26,25,24,25,25,22,26,29
Creedence Clearwater Revival,Musician,83,80,90,87,69,78,56,64,64,67,76,69,94,84,90,91,100,77,81,83,76,71,46,49,38,45,46,69,66,70,62,73,71,62,71,71,67,84,70,46,53,66,65,73,86,83,70,80,70,98,80,75
Santana,Musician,59,54,58,60,63,58,60,64,85,65,80,62,65,57,63,64,61,60,63,57,53,67,51,50,52,51,50,49,48,48,57,73,69,100,77,82,78,73,66,75,81,87,70,70,67,58,72,68,71,68,59,58
Fleetwood Mac,Musician,71,33,73,100,59,44,44,43,84,67,38,34,37,38,31,42,39,40,44,53,41,62,41,41,39,51,68,62,50,49,43,42,60,50,45,45,34,35,37,30,32,32,39,53,45,47,48,43,46,46,40,48
Genesis,Musician,55,54,56,55,55,55,57,56,56,56,54,53,53,51,53,52,54,54,55,56,59,60,61,61,58,58,59,58,55,56,54,54,56,59,58,58,60,55,58,58,62,61,63,65,100,100,54,56,55,58,59,62
Led Zeppelin,Musician,81,75,82,78,75,78,74,72,75,86,81,78,86,77,83,86,85,78,80,83,80,79,73,77,78,82,73,68,70,73,70,70,76,66,69,71,72,77,70,82,78,81,76,77,89,86,78,76,74,73,74,100
Black Sabbath,Musician,88,86,93,90,96,91,83,88,78,84,99,87,100,97,99,99,97,88,94,96,97,85,93,88,78,88,81,85,93,98,85,80,88,88,84,87,86,87,84,83,98,87,92,86,92,80,91,79,81,82,96,79
Michael Jackson,Musician,16,17,18,16,16,17,29,18,17,18,18,42,24,21,19,17,17,18,20,20,39,22,18,16,17,17,18,18,20,22,17,17,18,16,16,16,18,20,22,20,21,21,25,22,23,22,28,100,62,40,28,23
Funkadelic Parliament,Musician,28,20,22,37,38,25,35,27,27,27,16,100,49,55,52,51,43,57,30,36,29,30,15,28,25,19,12,19,19,25,14,24,24,16,22,39,32,28,30,28,24,31,34,46,23,20,36,29,26,26,17,26
Judas Priest,Musician,72,67,100,60,41,33,32,32,38,33,29,27,28,34,35,38,34,44,42,66,50,66,57,44,48,36,26,24,26,25,24,26,24,26,54,32,31,31,28,29,31,30,29,26,26,31,29,35,35,30,35,38
Aerosmith,Musician,25,26,27,30,29,30,28,25,25,28,29,24,30,28,27,32,38,64,100,83,42,34,37,30,29,32,26,26,30,28,26,43,36,25,25,25,30,31,32,25,27,31,33,33,35,32,46,36,33,42,35,40
